hotel_id,username,userId
AVwc252WIN2L1WUfpqLP,Paula,1
AVwc252WIN2L1WUfpqLP,D,2
AVwc252WIN2L1WUfpqLP,Ron,3
AVwdOclqIN2L1WUfti38,jaeem2016,4
AVwdOclqIN2L1WUfti38,MamaNiaOne,5
AVwdOclqIN2L1WUfti38,kevan777,6
AVwdOclqIN2L1WUfti38,Princess F,7
AVwdOclqIN2L1WUfti38,DebMurphy57,8
AVwdOclqIN2L1WUfti38,kayleighwillswim1224,9
AVwePiAX_7pvs4fzBSAl,KristyWM,10
AVwePiAX_7pvs4fzBSAl,B M,11
AVwePiAX_7pvs4fzBSAl,Cathleen S,12
AVwePiAX_7pvs4fzBSAl,1fiesty,13
AVwePiAX_7pvs4fzBSAl,810michellemm,14
AVwePiAX_7pvs4fzBSAl,travelchick1113,15
AVwdUKE3_7pvs4fz4lE-,AimlessinMe,16
AVwdUKE3_7pvs4fz4lE-,Tabitha K,17
AVwdUKE3_7pvs4fz4lE-,Yamachaser,18
AVwdUKE3_7pvs4fz4lE-,Rbuffington,19
AVwdUKE3_7pvs4fz4lE-,Nick F,20
AVweQyWNkufWRAb5BZeg,sxk158,21
AVweQDZpIN2L1WUf3TA9,tcolt45,22
AVwdQ0dy_7pvs4fz4BqX,C,23
AVwdQ0dy_7pvs4fz4BqX,David,24
AVwdQ0dy_7pvs4fz4BqX,Lindsay,25
AVwdQ0dy_7pvs4fz4BqX,Maxence Z,26
AVwdKLPU_7pvs4fz23YA,Tunaphat,27
AVwdKLPU_7pvs4fz23YA,hoosierladyus48,28
AWE7dKHFIxWefVJwyLgA,A verified traveler,29
AWE7dKHFIxWefVJwyLgA,A verified traveler,30
AWE7dKHFIxWefVJwyLgA,A verified traveler,31
AWE7dKHFIxWefVJwyLgA,Lorraine,32
AWE7dKHFIxWefVJwyLgA,A verified traveler,33
AWE7dKHFIxWefVJwyLgA,Walter,34
AWE7dKHFIxWefVJwyLgA,A verified traveler,35
AWE7dKHFIxWefVJwyLgA,A verified traveler,36
AWE7dKHFIxWefVJwyLgA,Gene,37
AWE7dKHFIxWefVJwyLgA,A verified traveler,38
AWE7dKHFIxWefVJwyLgA,A verified traveler,39
AWE7dKHFIxWefVJwyLgA,A verified traveler,40
